=========================================
BRANDS SUMMARY
=========================================
 Brand Name  |    Slug     | Product Count |         Created         
-------------+-------------+---------------+-------------------------
 BlazingStar | blazingstar |            37 | 2025-11-17 13:08:52.689
 Bold Berry  | bold-berry  |             9 | 2025-11-17 13:08:52.785
 CND         | cnd         |             0 | 2025-12-02 12:46:22.057
 DND         | dnd         |             0 | 2025-12-02 12:46:22.057
 KDS         | kds         |             6 | 2025-11-17 13:08:52.838
 La Palm     | lapalm      |            18 | 2025-11-17 13:32:47.561
 MBerry      | mberry      |             5 | 2025-11-17 13:22:22.986
 OPI         | opi         |             0 | 2025-12-02 12:46:22.057
 VL London   | vl-london   |             9 | 2025-12-02 12:37:10.86
(9 rows)


=========================================
PRODUCTS BY BRAND
=========================================
    Brand    |   Product Code   |                     Product Name                     | Active | Versions 
-------------+------------------+------------------------------------------------------+--------+----------
 BlazingStar | product-1        | Liquid BlazingStar Nhẹ Mùi                           | t      |        1
 BlazingStar | product-184      | BlazingStar Maxx Perform - Bột Tốc Độ                | t      |        1
 BlazingStar | product-185      | BlazingStar Maxx Perform Powder                      | t      |        1
 BlazingStar | product-187      | Bột Màu - French                                     | t      |        1
 BlazingStar | product-189      | BlazingStar Maxx Perform - Ombre Collection          | t      |        1
 BlazingStar | product-191      | BlazingStar Maxx Perform                             | t      |        1
 BlazingStar | product-197      | Bột Màu - Ombre                                      | t      |        1
 BlazingStar | product-237      | BlazingStar Gel Top Sunshield                        | t      |        1
 BlazingStar | product-238      | BlazingStar Gel Base - 15ml                          | t      |        1
 BlazingStar | product-267      | BlazingStar Liquid Purple/Clear - LIQUID THƯỜNG      | t      |        1
 BlazingStar | product-270      | BlazingStar Liquid EMA Purple - LIQUID CHẢY          | t      |        1
 BlazingStar | product-275      | BlazingStar Liquid                                   | t      |        1
 BlazingStar | product-277      | BlazingStar Brush Standard - LÔNG CỨNG               | t      |        1
 BlazingStar | product-297-1    | BlazingStar Brush Premium Pro - Size 16              | t      |        1
 BlazingStar | product-297-2    | BlazingStar Brush Premium Pro - Size 18              | t      |        1
 BlazingStar | product-297-3    | BlazingStar Brush Premium Pro - Size 20              | t      |        1
 BlazingStar | product-343      | Flexibuild X                                         | t      |        1
 BlazingStar | product-343-1    | Strong Build HF                                      | t      |        1
 BlazingStar | product-347      | Flexibuild X - 240ml Refill - X201, X202, X203, X204 | t      |        1
 BlazingStar | product-347-1    | Strong Build HF 240ml                                | t      |        1
