NUMBER,Name,Scent,Case Size,Original Price,Sale Price,10% TOTAL BILL,CANH CUT SALE PROMOTION,Retail Case Price,GIÁ OFFER NGÀY THƯỜNG,myVL Rules,Update
1,LP Liquid 4 Season,Mango,4,50,50,45,,,,,
2,LP Liquid 4 Season,Mango,4,200,180,162,OFF 10%,,,,
3,CALLUS ,,,X,X,X,,,,,22.09.25
4,LP Callus Remover 32oz,Super Lemon,12,£12.00,£12.00,£10.80,,,,,22.09.25
5,LP Callus Remover Extreme 32oz,French Rose,12,£15.00,£15.00,£13.50,,,,,22.09.25
6,LP Callus Remover Gallon,Super Lemon,4,£30.00,£20.25,£18.23,OFF 10% MUA 3 TẶNG 1,£96.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £120,Sale135 / Sale136,22.09.25
7,LP Callus Remover Gallon Extreme ,French Rose,4,£40.00,£27.00,£24.30,OFF 10% MUA 3 TẶNG 1,£128.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £160,Sale135 / Sale136,22.09.25
8,Mask & Lotion ,,,X,X,X,,,,,22.09.25
9,LP Cooling Gel 12oz,Aloe Vera,12,£8.00,£8.00,£7.20,,,,,22.09.25
10,LP Cooling Gel Gallon,Aloe Vera,4,£30.00,£20.25,£18.23,OFF 10% MUA 3 TẶNG 1,£96.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £120,Sale135 / Sale136,22.09.25
11,LP Cream Mask 12oz,Aloe Vera,12,£10.00,£10.00,£9.00,,,,,22.09.25
12,LP Cream Mask 12oz,Lemon,12,£10.00,£10.00,£9.00,,,,,22.09.25
13,LP Cream Mask 12oz,Orange Tangerine Zest,12,£10.00,£10.00,£9.00,,,,,22.09.25
14,LP Cream Mask Gallon,Aloe Vera,4,£30.00,£20.25,£18.23,OFF 10% MUA 3 TẶNG 1,£96.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £120,Sale135 / Sale136,22.09.25
15,LP Cream Mask Gallon,Aloe Vera,4,£30.00,£20.25,£18.23,OFF 10% MUA 3 TẶNG 1,£96.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £120,Sale135 / Sale136,22.09.25
16,LP Cream Mask Gallon,Lemon,4,£30.00,£20.25,£18.23,OFF 10% MUA 3 TẶNG 1,£96.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £120,Sale135 / Sale136,22.09.25
17,LP Marine Mask 12oz,Cucumber,12,£10.00,£10.00,£9.00,,,,,22.09.25
18,LP Marine Mask Gallon,Cucumber,4,£30.00,£20.25,£18.23,OFF 10% MUA 3 TẶNG 1,£96.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £120,,22.09.25
19,LP Cuticle Oil Gallon,Yellow Pineapple,4,£20.00,£18.00,£16.20,Lẻ OFF 10% - CASE OFF 20% TỪ GIÁ ORIGINAL,£72.00,GIÁ THÙNG GIẢM 10% TỪ GIÁ GỐC £80,,22.09.25
20,LP Cuticle Oil Gallon,Peach,4,£20.00,£18.00,£16.20,Lẻ OFF 10% - CASE OFF 20% TỪ GIÁ ORIGINAL,£72.00,GIÁ THÙNG GIẢM 10% TỪ GIÁ GỐC £80,,22.09.25
21,LP Cuticle Oil Gallon CASE,,,£80.00,£64.00,£57.60,CASE OFF 20% TỪ GIÁ ORIGINAL,,,,
22,LP Cuticle Softener 8oz,Peach & Aloe Vera,18,£5.00,£5.00,£4.50,,,,,22.09.25
23,LP Cuticle Softener 8oz,Mandarin Pear,18,£5.00,£5.00,£4.50,,,,,22.09.25
24,LP Cuticle Softener Gallon,Peach & Aloe Vera,4,£20.00,£18.00,£16.20,Lẻ OFF 10% - CASE OFF 20%,£72.00,GIÁ THÙNG GIẢM 10% TỪ GIÁ GỐC £80,Sale137/138,22.09.25
25,LP Cuticle Softener Gallon,Mandarin Pear,4,£20.00,£18.00,£16.20,Lẻ OFF 10% - CASE OFF 20%,£72.00,GIÁ THÙNG GIẢM 10% TỪ GIÁ GỐC £80,,22.09.25
26,LP Cuticle Softener Gallon CASE,,,£80.00,£72.00,£64.80,CASE OFF 20% TỪ GIÁ ORIGINAL,,,Sale137/138,
27,LP Lotion 24oz ( 8 MÙI),Lychee Lemongrass,16,£7.00,£6.30,£5.67,OFF 10% MUA TRÊN 3,,,Sale145,22.09.25
28,LP Lotion 24oz,Mango,16,£7.00,£6.30,£5.67,OFF 10% MUA TRÊN 3,,,,22.09.25
29,LP Lotion 24oz,Coconut Cream,16,£7.00,£6.30,£5.67,OFF 10% MUA TRÊN 3,,,,22.09.25
30,LP Lotion 24oz,French Rose,16,£7.00,£6.30,£5.67,OFF 10% MUA TRÊN 3,,,Sale145,22.09.25
31,LP Lotion 24oz,Green Tea,16,£7.00,£6.30,£5.67,OFF 10% MUA TRÊN 3,,,,22.09.25
32,LP Lotion 24oz,Lavender Purple,16,£7.00,£6.30,£5.67,OFF 10% MUA TRÊN 3,,,,22.09.25
33,LP Lotion 24oz,Lemon,16,£7.00,£6.30,£5.67,OFF 10% MUA TRÊN 3,,,,22.09.25
34,LP Lotion 24oz,Tropical Citrus,16,£7.00,£6.30,£5.67,OFF 10% MUA TRÊN 3,,,Sale145,22.09.25
35,LP Lotion Gallon (8 MÙI),Lychee Lemongrass,4,£25.00,£16.88,£15.19,OFF 10% MUA 3 TẶNG 1,£75.00,GIÁ THÙNG GIẢM 25% TỪ GIÁ GỐC £100,Sale137/138,22.09.25
