CATEGORIES,Product Name,Packing Size,Org Price,Sale Price,10% TOTAL BILL,CANH CUT SALE,Thi,Thanh,PER UNIT FINAL,,
x,GREEN: READY ĐỂ SETUP MYVL & MARKETING,BLUE: Đã Xong myVL Rules,,,,,,,,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Powder Natural Pink 23oz,Slow/Medium/Fast Set,£36.00,£36.00,£32.40,SL <5,TRUE,FALSE,£27.00,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Powder Natural Pink 23oz,Slow/Medium/Fast Set,£36.00,£30.60,£27.54,MUA >=5 GIẢM 15%,TRUE,FALSE,£27.00,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Powder Clear Gel 23oz,Medium/Fast Set,£40.00,£40.00,£36.00,SL <3,TRUE,FALSE,£27.00,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Powder Clear Gel 23oz,Medium/Fast Set,£40.00,£32.00,£28.80,MUA >=3 GIẢM 20%,TRUE,FALSE,£27.00,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Powder WHITE 23oz,Milky White / Soft White/ French White,£50.00,£50.00,£45.00,SL <3,TRUE,FALSE,£33.75,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Powder WHITE 23oz,Milky White / Soft White/ French White,£50.00,£40.00,£36.00,MUA >=4 GIẢM 20% - MIX & MATCH,TRUE,FALSE,£33.75,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR French Collection,Nude/French /Shell Pink/Bright Pink/Soft Peach/Cover,£60.00,£48.00,£43.20,SL <3,TRUE,FALSE,£40.50,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR French Collection,Nude/French /Shell Pink/Bright Pink/Soft Peach/Cover,£60.00,£48.00,£43.20,MUA >=4 GIẢM 20% - MIX & MATCH,TRUE,FALSE,£40.50,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Ombre 23oz,lẻ,£70.00,£56.00,£50.40,SL <3,TRUE,FALSE,,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Ombre 23oz,lẻ,£70.00,£56.00,£50.40,MUA >=4 GIẢM 20% - MIX & MATCH,TRUE,FALSE,£47.25,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Ombre 23oz,Set 22 Ombre Colors (1-22),"£1,540.00","£1,155.00","£1,039.50",GIẢM 25% TỪ GIÁ GỐC,TRUE,FALSE,,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Ombre 23oz,Set 28 (22 Ombre + 6 French),"£1,900.00","£1,425.00","£1,282.50",GIẢM 25% TỪ GIÁ GỐC,TRUE,FALSE,,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Ombre 23oz,Set 31 (22 Ombre + 3 White + 6 French),"£2,050.00","£1,537.50","£1,383.75",GIẢM 25% TỪ GIÁ GỐC,TRUE,FALSE,,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Ombre 2oz,lẻ,£10.00,£10.00,£9.00,SL <10,TRUE,FALSE,,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Ombre 2oz,lẻ,£10.00,£9.00,£8.10,SL >=10 GIẢM 10%,TRUE,FALSE,£8.10,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Ombre 2oz,lẻ,£10.00,£8.00,£7.20,SL >=20 GIẢM 20%,TRUE,FALSE,£7.20,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Ombre 2oz,Set 22,£220.00,£176.00,£158.40,GIẢM 20% TỪ GIÁ GỐC,TRUE,FALSE,,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Ombre 2oz,Set 28 (22 Ombre + 6 French),£280.00,£224.00,£201.60,GIẢM 20% TỪ GIÁ GỐC,TRUE,FALSE,,,
BỘT ACRYLIC + OMBRE,BLAZINGSTAR Ombre 2oz,Set 31 (22 Ombre + 3 White + 6 French),£310.00,£248.00,£223.20,GIẢM 20% TỪ GIÁ GỐC,TRUE,FALSE,,,
BỘT ACRYLIC + OMBRE,BOLD BERRY Dipping Ombre 2oz,Lẻ,£10.00,£10.00,£9.00,SL <10,TRUE,FALSE,,,
BỘT ACRYLIC + OMBRE,BOLD BERRY Dipping Ombre 2oz,Lẻ,£10.00,£9.00,£8.10,SL >=10,TRUE,FALSE,£8.10,,
BỘT ACRYLIC + OMBRE,BOLD BERRY Dipping Ombre 2oz,Lẻ,£10.00,£8.00,£7.20,SL >=20,TRUE,FALSE,£7.20,,
BỘT ACRYLIC + OMBRE,BOLD BERRY Dipping Ombre 2oz,Set 240,"£2,400.00","£1,920.00","£1,728.00",GIẢM 20% TỪ GIÁ GỐC,TRUE,FALSE,,,
SƠN GEL POLISH,BB French Cateye 15ml,Lẻ,£8.00,£8.00,£7.20,SL <6 CHAI,TRUE,FALSE,,,
SƠN GEL POLISH,BB French Cateye 15ml,Lẻ,£8.00,£7.20,£6.48,OFF 10% VỚI SL >=6,TRUE,FALSE,£6.48,,
SƠN GEL POLISH,BB French Cateye 15ml,Lẻ,£8.00,£6.40,£5.76,OFF 20% VỚI SL >=12,TRUE,FALSE,£5.76,,
SƠN GEL POLISH,BB French Cateye 15ml,Set 36,£288.00,£216.00,£194.40,GIẢM 25% TỪ GIÁ ORIGINAL,TRUE,FALSE,£5.40,,
SƠN GEL POLISH,BB Gel Polish,Lẻ,£5.00,£5.00,£4.50,SL <12 CHAI,TRUE,FALSE,,,
SƠN GEL POLISH,BB Gel Polish,Lẻ,£5.00,£4.50,£4.05,SL >= 12 GIẢM 10% MIX & MATCH với BASE và TOP,TRUE,FALSE,£4.05,,
SƠN GEL POLISH,BB GEL BASE / GEL TOP 15ML,Lẻ,£5.00,£4.50,£4.05,SL >= 12 GIẢM 10% MIX & MATCH với GEL POLISH,TRUE,FALSE,,,
SƠN GEL POLISH,BB Gel Polish 15ml,Set 36,£180.00,£153.00,£137.70,GIẢM 15% TỪ GIÁ ORIGINAL,TRUE,FALSE,£3.83,,
SƠN GEL POLISH,BB Gel Polish 15ml,Set 433 (BẢNG MÀU TỪ SỐ 1-11 VÀ 13 ),"£2,165.00","£1,732.00","£1,558.80",GIẢM 20% TỪ GIÁ ORIGINAL,TRUE,FALSE,£3.60,,
